sample_accession	text	tag
SAMEA112526651	Traversing European Coastlines (TREC) expedition This marine metagenome sample was collected during the Traversing European Coastlines (TREC) expedition on date/time 2024 04 21T12:33:00Z, at location 42.28200 N 11.20030 E and depth (m)=0, using protocol HC with sample pid SAMEA112526651  marine metagenome marine biome [ENVO:00000447] surface water [ENVO:00002042] seawater [ENVO:01001964]	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMEA8514111	DSMP Metabarcodes from the global deepsea with focus on the Clarion Clipperton Fracture Zone V1V2.RNA.12.B marine sediment metagenome marine abyssal zone biome marine oligotrophic desert mud	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMEA11192074	Biosynthetic potential of the global ocean microbiome metagenomic bin from biosample SAMEA2591057 TARA SAMEA2591057 BIN 00000141 marine metagenome Ocean water Ocean water Ocean water	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN08327646	 CTD47.S.2 CTD47.S.2 marine metagenome   	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN50655180	 Metagenome or environmental sample from estuary metagenome Metagenome or environmental sample from estuary metagenome estuary metagenome   	env_tax:marine;env_geo;env_geo:coastal;env_tax:brackish;env_tax;env_geo:marine
SAMEA11121896	Biosynthetic potential of the global ocean microbiome metagenomic bin from biosample SAMEA4398027 TARA SAMEA4398027 METAG BKLIPBOK marine metagenome Ocean water Ocean water Ocean water	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN29474808	 H. georgianus South Georgia Island gut content 4 marine metagenome marine metagenome marine benthic biom [ENVO:01000024] marine subtidal rocky reef [ENVO:01000150] animal tissue [FOODON:00002671]	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMEA112498217	Traversing European Coastlines (TREC) expedition This marine metagenome sample was collected during the Traversing European Coastlines (TREC) expedition on date/time 2023 08 02T12:00:00Z, at location 58.35900 N 11.58400 E and depth (m)=0, using protocol SML 320 with sample pid SAMEA112498217  marine metagenome marine biome [ENVO:00000447] surface water [ENVO:00002042] seawater [ENVO:01001964]	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN16976007	 I68 I68 Platygyra daedalea Coral community  	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN41472745	 Microbe sample from Marinomonas primoryensis Microbe sample from Marinomonas primoryensis Marinomonas primoryensis   	env_tax:marine;env_geo;env_tax;env_geo:marine
